text,category,priority,text_fr
duplicate charge come original unemployment card followed step report fraudulent charge cancellation card submitting documentation fraudulent charge requesting new card issued almost week im able get touch customer service hold min hour get disconnected want access unemployment benefit,admin_error,medium,les frais en double viennent la carte de chômage originale a suivi l'étape rapporter la carte d'annulation de charge frauduleuse soumettre la documentation charge frauduleuse demander une nouvelle carte émise presque une semaine je peux contacter le service client attendre min heure se déconnecter vouloir accéder aux allocations de chômage
contacted multiple time company demanding payment incorrect also submitted writing disputing amount company sued multiple time overcharging customer false advertisement incorrect billing also alerted multiple time alert placed company class action lawsuit wasnt aware fianc passed away need everything repair credit creditor yet resolve issue would like removed credit report due incorrect overcharged fee harassment attached proof information,admin_error,high,contacté à plusieurs reprises l'entreprise exigeant un paiement incorrect a également soumis l'écriture contestant le montant l'entreprise a été poursuivie à plusieurs reprises pour surcharge du client fausse publicité facturation incorrecte également alertée à plusieurs reprises alerte placée un recours collectif de l'entreprise le procès n'était pas au courant le fiancé est décédé besoin de tout réparer le créancier de crédit mais résoudre le problème aimerait supprimer le rapport de crédit en raison de frais surfacturés incorrects harcèlement informations de preuve jointes
filed dispute chase visa charge account made charge two airline ticket scheduled received notice flight canceled refund voucher offered flight canceled full refund charge card allowed law u law fair credit billing act chase visa requested additional information concerning dispute provided copy email stating canceled flight copy attempt contact refund chronology communication air clearly stated summary noting cancel flight replied dispute canceled flight proof given statement ticket eligible refund chase agreed said charge valid even though written proof cancel flight finding providing yet information email showing cancel flight chase visa replied may valid complaint merchant result additional review confirm transaction valid billing error occurred contacted chase visa dispute department told error billing agent also said evaluated billing error dispute merchant perform contracted service dispute continued say nothing could done since charge wanted could resubmit data possibly would rev,admin_error,medium,déposé litige poursuite visa charge compte fait charge deux billet d'avion prévu reçu avis vol annulé remboursement bon offert vol annulé remboursement complet carte de débit autorisée loi u loi juste crédit facturation loi chasse visa demandé des informations supplémentaires concernant le litige fourni copie e-mail indiquant vol annulé copie tentative contact remboursement chronologie communication air clairement indiqué résumé notant annulation vol répondu litige annulé preuve de vol donné déclaration billet éligible remboursement poursuite convenu dit charge valable même si preuve écrite annuler vol conclusion fournissant encore information e-mail montrant annulation vol poursuite visa répondu mai valide plainte marchand résultat examen supplémentaire confirmer transaction valide erreur de facturation s'est produite contacté chasse visa litige département dit erreur l'agent de facturation a également déclaré que le commerçant avait évalué le litige concernant les erreurs de facturation et qu'il effectuait le litige concernant les services contractuels. Il a déclaré que rien ne pouvait être fait puisque les frais demandés pourraient soumettre à nouveau les données.
submitting complaint extremely affected credit ncb management service completely unfair dont know get ahold portal want express suffered big impact credit score lived one worst period life situation company reporting wrong information account failed mark account disputed also reported multiple billing error charter internet original creditor unfair business practice account information following ncb management service inc opened date balance original creditor name california demand based many damage violation committed violation violation california xxxxxxxx failure report first delinquency date excessive call violation california consumer protection act failure validate account produce itemization debt instrument violation ccra deceptive business practice negligence charging unconscionable interest set california supreme court ruling v company registered business search california pennsylvania want item removed credit report asap please see attached documentation company thank,admin_error,medium,soumettre une plainte crédit extrêmement affecté service de gestion ncb complètement injuste ne sait pas obtenir le portail vouloir express subi un gros impact pointage de crédit vécu une pire période situation de vie entreprise rapportant des informations fausses compte échoué marque compte contesté également signalé plusieurs erreurs de facturation charte internet créancier d'origine pratique commerciale déloyale informations de compte suivant ncb management service inc ouvert date solde original nom du créancier californie demande basée nombreux dommages violation commis violation violation californie xxxxxxxx rapport d'échec première date de délinquance violation excessive d'appel californie protection des consommateurs acte échec valider compte produire détail instrument de dette violation ccra trompeur pratique commerciale négligence facturer des intérêts déraisonnables ensemble décision de la cour suprême de californie v société entreprise enregistrée recherche californie pennsylvanie vouloir l'article retiré rapport de crédit dès que possible veuillez voir la documentation ci-jointe société remercier
entered consumer credit transaction toyota financial service consumer credit transaction included finance charge pursuant finance charge sum charge consumer credit transaction toyota financial service took vehicle payment advertised payment violation pursuant toyota financial service never disclosed option opt transaction reported toyota financial service also reported transaction consumer reporting agency violation transaction arose credit card supposed excluded consumer report along repeated phone call erroneous billing error lexus well violation debt collector may communicate consumer connection collection debt sent multiple certified letter consumer reporting agency toyota financial service returning green signature card,admin_error,medium,transaction de crédit à la consommation entrée service financier toyota transaction de crédit à la consommation incluse frais financiers conformément à la somme des frais de financement transaction de crédit à la consommation service financier toyota a pris paiement du véhicule annoncé violation de paiement conformément au service financier toyota jamais divulgué option option transaction signalée service financier toyota également transaction signalée violation de l'agence d'information sur les consommateurs transaction survenue carte de crédit supposé exclu rapport du consommateur le long d'appels téléphoniques erronés erreur de facturation lexus bien violation collecteur de dettes peut communiquer connexion consommateur recouvrement dettes envoyé plusieurs lettres certifiées agence d'information sur les consommateurs service financier toyota retour carte de signature verte
hi team received following email mattress firm regard synchrony credit card account oddly enough account closed back yet able place substantial charge without sort authorization involvement end wonder person impacted common also question security company charge closed account called confirmed valid email spam thanks investigating email good morning recently experienced glitch within system resulted u inadvertently charging synchrony finance account error reported synchrony working team reverse charge since error occurred back end system neither store made original purchase customer service department record duplicate charge able assist correcting error please know working correct send follow email synchrony confirmed charge reversed apologize error cause inconvenience thank mattress firm customer care,admin_error,medium,Salut l'équipe a reçu l'e-mail suivant matelas ferme respect compte de carte de crédit de synchronisation assez curieusement compte fermé mais capable de placer des frais substantiels sans autorisation de tri implication fin merveille personne impactée commune également question de sécurité charge de l'entreprise compte fermé appelé confirmé courrier électronique valide spam merci enquêtant sur l'e-mail bonjour récemment rencontré un problème dans le système qui a entraîné une charge par inadvertance de l'erreur de compte financier de synchronisation signalée à l'équipe de travail de synchronisation charge inversée depuis qu'une erreur s'est produite dans le système back-end aucun des deux magasins n'a effectué l'achat original service client enregistrement de la charge en double capable d'aider à corriger l'erreur s'il vous plaît savoir travailler correctement envoyer suivre l'e-mail synchronisation confirmée charge inversée s'excuser erreur cause un inconvénient merci matelas service client ferme
contacted radius global solution regarding medical collection account issue insurance billing able get correct issue remove balance close account even sent email proof bill adjusted originally emailed contact collection agency remove debt credit report contacted radius global spoke supervisor told either would call could get something faxed get account updated contacted rep informed account waited reached manager authorized adjust account well rep told sending something radius global get debt removed also emailed something showing account updated reflect called radius back passed around got supervisor explained trying get mortgage loan needed removed immediately told previous rep radius verified account recalled verified recalled could get removed credit report asked made since would continue report collection billing error stated want misinform saying told something wrong stated dont normally receive call requesting find hard believe said would research could call back monday might in,admin_error,critical,contacté rayon solution globale concernant le problème de compte de recouvrement médical facturation d'assurance pouvoir obtenir le problème correct supprimer le solde fermer le compte même envoyé e-mail preuve facture ajustée à l'origine envoyé par courrier électronique contacter l'agence de recouvrement supprimer le rapport de crédit de la dette contacté rayon global rayon superviseur a dit que l'un ou l'autre appellerait pourrait obtenir quelque chose par fax mettre à jour le compte contacté représentant informé compte attendu atteint gestionnaire autorisé ajuster le compte bien le représentant a dit d'envoyer quelque chose rayon global obtenir la dette supprimée également envoyé par e-mail quelque chose montrant le compte mis à jour refléter appelé rayon retour transmis a obtenu le superviseur a expliqué essayer d'obtenir le prêt hypothécaire nécessaire supprimé immédiatement dit rayon représentant précédent compte vérifié rappelé vérifié rappelé pourrait être supprimé rapport de crédit demandé fait depuis continuerait à signaler une erreur de facturation de collecte déclaré vouloir désinformer disant dit quelque chose de mal déclaré ne pas normalement recevoir d'appel demandant trouver dur croire dit que la recherche pourrait rappeler lundi pourrait dans
purchased set nightstands company price nightstand making cost set costco visa card charged twice keep claiming merchant refusing issue credit duplicate charge email company saying charged visa refuse listen tell closed dispute favor mean pocketing merchant paid credit card one day called visa time time hung claiming could hear saying costco visa history duplicate charge account getting sick tired high handedness want close card resolved report consumer reporting agency thank help provide,admin_error,medium,ensemble acheté tables de chevet prix de l'entreprise table de nuit coût de fabrication ensemble carte visa costco facturée deux fois continuer à réclamer le commerçant refusant d'émettre un crédit en double charge e-mail société disant chargé visa refuser écouter dire fermé litige faveur moyen empocher marchand payé carte de crédit un jour appelé visa temps temps suspendu réclamer pouvait entendre dire costco visa historique double charge compte tomber malade fatigué autoritaire vouloir fermer carte résolu rapport agence d'information sur les consommateurs remercier aider fournir
submitting complaint extremely affected credit management action completely unfair dont know get ahold portal want express suffered big impact credit score lived one worst period life situation company reporting wrong information account failed mark account disputed also reported multiple billing error charter internet original creditor unfair business practice account information following account name credit management inc account number original creditor opened date high balance demand based many damage violation committed want item removed credit report asap please sed attached documentation company thank,admin_error,medium,soumettre une plainte extrêmement affecté action de gestion du crédit complètement injuste ne sait pas obtenir le portail vouloir express a subi un gros impact pointage de crédit a vécu une pire période situation de vie entreprise rapportant des informations erronées compte échoué marque compte contesté également signalé plusieurs erreurs de facturation charte internet créancier d'origine pratique commerciale déloyale informations de compte nom du compte suivant gestion du crédit inc numéro de compte créancier d'origine date d'ouverture solde élevé basé sur la demande de nombreux dommages violation commise veulent que l'article soit retiré rapport de crédit dès que possible s'il vous plaît sed documentation jointe société merci
see attatched fraud claim date usaa investigate day law give bank resolve fraud followed usaa see attatched statement beginning fraud investigation credit provided make permanet investigation provided see attatched statement transaction duplicate charge total total duplicate charge usaa investigate fraud reported usaa provide usaa credit investigate usaa posted duplicate transaction,admin_error,medium,voir la date de réclamation pour fraude en pièce jointe États-Unis enquêter sur le jour de la loi donner à la banque résoudre la fraude suivie États-Unis voir la déclaration ci-jointe commençant l'enquête sur la fraude crédit fourni faire une enquête permanente fournie voir la déclaration ci-jointe transaction frais en double total total des frais en double États-Unis enquêter sur la fraude signalée États-Unis fournir un crédit aux États-Unis enquêter sur la transaction en double publiée aux États-Unis
dear officer property originally financed hsbc bank loan also modified bank recently refinanced loan two wrong charge posted account hsbc one one able catch first unjustified charge since stated monthly mortgage statement prior refinance however second charge revealed till exactly day prior refinance closing date xxxxxxxx recoverable balance attachedxxxx borrower estimated settlement statement must closed refinance otherwise would lose favorable refinance rate well advanced paid appraisal hsbc stated charge incurred due loan modification explained disclosed hsbc loan modification agreement clearly stated unpaid amount loan modification summed included final modified loan amount loan modification agreement highlighted yellow based explanation evidenced modification agreement hsbc removed first duplicate charge hsbc letter however soon loan refinanced hsbc responding refunding second unjustified charge since actively pursued resolve issue amicably directly hsbc however inferred customer ,admin_error,medium,"cher agent propriété financée à l'origine prêt bancaire hsbc également modifié banque prêt récemment refinancé deux frais erronés compte publié hsbc un un capable de récupérer la première charge injustifiée depuis le relevé hypothécaire mensuel déclaré avant le refinancement, mais la deuxième charge révélée jusqu'à exactement la veille de la date de clôture du refinancement xxxxxxxx solde récupérable attachéxxxx l'emprunteur estimatif du relevé de règlement doit fermer le refinancement, sinon il perdrait un taux de refinancement favorable bien avancé évaluation payée hsbc a déclaré les frais encourus en raison de la modification du prêt expliqué divulgué l'accord de modification du prêt hsbc clairement indiqué montant impayé modification du prêt additionné inclus final modifié montant du prêt accord de modification du prêt surligné en jaune explication basée sur l'accord de modification prouvé hsbc a supprimé les premiers frais en double lettre de hsbc mais bientôt prêt refinancé hsbc a répondu en remboursant les deuxièmes frais injustifiés depuis que nous avons activement poursuivi résoudre le problème à l'amiable directement hsbc quelle que soit la cliente déduite"
dear since ive notified comenity capital bank dispute billing error amount credit card account credit card amount inaccurate prompted store cashier apply credit card additional saving purchase cashier assured could immediately open credit card account pay purchase immediately pay purchase debit card purchase done per enclosed bank statement transaction amount shocked receive credit card amount immediately called comenity capitol bank reported error comenity capital bank additionally recommended report billing error via comenity capital bank website mailed comenity copy statement depicting puechase debit card received letter comenity capital bank requesting provide electronic transmittal inquiry form along full payee information credit card account number bank transaction relationship manager ok provided attached letter contained itemized data transaction information immediately mailed commenity capital bank oh received letter comenity capital bank stating unable track payment informati,admin_error,critical,cher depuis que j'ai notifié Comenity Capital Bank Litige Erreur de facturation Montant du compte de carte de crédit Montant de la carte de crédit inexact. la banque demandant fournir un formulaire de demande de transmission électronique avec des informations complètes sur le bénéficiaire numéro de compte de carte de crédit gestionnaire de relations de transaction bancaire ok fourni lettre jointe contenant des données détaillées informations sur la transaction immédiatement envoyées par la banque de capital communautaire oh lettre reçue banque de capital commercial indiquant qu'elle est incapable de suivre les informations de paiement
capital one credit card company one vendor made unauthorized duplicate charge card capital one failed properly investigate charge detail given document uploaded step,admin_error,medium,"Capital One, une société de carte de crédit, un fournisseur a créé une carte de crédit en double non autorisée, Capital One a échoué à enquêter correctement sur les détails des frais, compte tenu de l'étape de téléchargement du document."
filed dispute auto insurance come automatically accidentally paid well realized error immediatelly called american express national bank filed dispute time told still pending account would take day returned account seventh day checked account monies account transaction posted called bank inquire monies told dispute filed could get money returned another day looked account also seen duplicate charge try rectify situation mean told done part also waited returned money told customer service rep wanted speak supervisor continuously continued speak insisted speak supervisor also give monies supervisor customer rep number follows account number bank american express national bank,admin_error,medium,litige déposé assurance auto venir automatiquement accidentellement payé bien réalisé erreur immédiatement appelé banque nationale american express litige déposé temps dit compte toujours en attente compte rendu le jour compte vérifié du septième jour transaction de compte posté appelé banque enquêter argent dit litige déposé pourrait obtenir de l'argent retourné un autre jour regardé compte également vu frais en double essayer rectifier la situation moyenne dit fait partie a également attendu argent retourné dit au représentant du service client voulait parler superviseur continuellement continué parler a insisté parler superviseur donner également de l'argent superviseur numéro de représentant du client suit le numéro de compte banque american express banque nationale
