texte_clean,categorie,priorite
frais double venir carte chomage original suivre etape rapporter carte annulation charge frauduleux soumettre documentation charg frauduleux demander nouveau carte emise presque semaine contacter service client attendre min heure deconnecter vouloir acceder allocation chomage,erreur_administrative,moyenne
contacter reprise entreprise exiger paiement incorrect soumettre ecriture contester montant entreprise ete poursuivre reprise surcharge client faux publicite facturation incorrect alertee reprise alerte placee recours collectif entreprise proce courant fiance decede besoin reparer creancier credit resoudre probleme aimer supprimer rapport credit raison frais surfacture incorrect harcelement information preuve joindre,erreur_administrative,elevee
depose litige poursuite visa charge compte charge billet avion prevu recu avis vol annuler remboursement bon offrir vol annuler remboursement complet carte debit autorisee loi loi credit facturation loi chass visa demande information supplementaire litige fournir copie mail indiquer vol annuler copie tentativ contact remboursement chronologie communication air clairement indique resume noter annulation vol repondu litige annuler preuve vol donne declaration billet eligibl remboursement poursuite convenir charge valable preuve ecrite annuler vol conclusion fournir information mail montrer annulation vol poursuite visa repondu mai valide plainte marchand resultat examen supplementair confirmer transaction valide erreur facturation produire contacter chasse visa litige departement erreur agent facturation declare commercant evalue litige erreur facturation effectuer litige service contractuel declare rien frais demande pouvoir soumettre donnee,erreur_administrative,moyenne
soumettre plainte credit extremement affecter service gestion ncb completement injuste obtenir portail vouloir express subir gros impact pointage credit vecu pire periode situation vie entreprendre rapporter information faux compte echoue marqu compte conteste signaler erreur facturation charte internet creancier origine pratique commercial deloyal information compte ncb management service inc date solde original nom creancier californie demande dommage violation commettre violation violation californi xxxxxxxx rapport echec premier date delinquance violation excessif appel californie protection consommateur acte echec valider compte produire detail instrument dette violation ccra trompeur pratique commercial negligence facturer interet deraisonnable ensemble decision cour suprem californie societe entreprendre enregistree recherche californi pennsylvani vouloir article retirer rapport credit vouloir voir documentation joindre societe remercier,erreur_administrative,moyenne
transaction credit consommation entree service financier toyota transaction credit consommation inclus frais financier conformement somme frais financement transaction credit consommation service financier toyota prendre paiement vehicule annoncer violation paiement conformement service financier toyota jamais divulguer option option transaction signale service financier toyota transaction signale violation agence information consommateur transaction survenir carte credit suppose exclure rapport consommateur long appel telephonique errone erreur facturation lexu bien violation collecteur dette communiquer connexion consommateur recouvrement dette envoye lettre certifiee agence information consommateur service financier toyota carte signature vert,erreur_administrative,moyenne
salut equipe recu mail matelas ferme respect compte carte credit synchronisation curieusement compte ferme capable placer frais substantiel autorisation tri implication fin merveill impacte commun question securite charg entreprise compte ferme appele confirmer courrier electroniqu valide spam enquetant mail bonjour recemment rencontre probleme systeme entraine charge inadvertance erreur compte financier synchronisation signale equipe travail synchronisation charge inverse erreur produire systeme back end aucun magasin effectuer achat original service client enregistremer charge double capable aider corriger erreur pler savoir travailler correctement envoyer mail synchronisation confirme charge inverse excuser erreur cause inconvenient matelas service client ferme,erreur_administrative,moyenne
contacter rayon solution global probleme compte recouvrement medical facturation assurance pouvoir obtenir probleme correct supprimer solde fermer compte envoye mail preuve facture ajustee origine envoye courrier electroniqu contacter agence recouvrement supprimer rapport credit dette contact rayon global rayon superviseur appeler obtenir chose fax mettre jour compte contacter representer informe compte atteindre gestionnaire autoriser ajuster compte bien representant envoyer chose rayon global obtenir dette supprime envoye mail chose montrer compte mettre jour refleter appele rayon transmettre obtenir superviseur expliquer essayer obtenir pret hypothecair necessair supprimer immediatement rayon representer precedent compte verifie rappele verifie rappele supprimer rapport credit demande continuer signaler erreur facturation collecte declar vouloir desinformer dire chose mal declare normalement recevoir appel demander trouver dur croire recherche rappeler lundi,erreur_administrative,critique
ensemble achete table chevet prix entreprise table nuit cout fabrication ensemble carte visa costco facturee fois continuer reclamer commercant refuser emettre credit double charge mail societe dire charge viser refuser ecouter ferme litige faveur moyen empocher marchand payer carte credit jour appele visa temps temp suspendre reclamer entendre costco visa historique double charge compte tomber malade fatigue autoritaire vouloir fermer carte resolu rapport agence information consommateur remercier aider fournir,erreur_administrative,moyenne
soumettre plainte extremement affecter action gestion credit completement injuste obtenir portail vouloir express subir gros impact pointage credit vecu pire periode situation vie entreprendre rapporter information erronee compte echoue marqu compte conteste signaler erreur facturation charte internet creancier origine pratique commercial deloyal information compte nom compte gestion credit inc numero compte creancier origine date ouverture solde eleve base demande dommage violation commettre vouloir article retirer rapport credit pler sed documentation joindre societe,erreur_administrative,moyenne
voir date reclamation fraude piece joindre etat uni enqueter jour loi donner banque resoudre fraude suivre etat uni voir declaration joindre commencer enquete fraude credit fournir faire enquete permanent fournir voir declaration joindre transaction frais double total total frais double etat uni enqueter fraude signale etat uni fournir credit etat uni enqueter transaction double publiee etat uni,erreur_administrative,moyenne
