text,category,priority
booked room amount however amount either charged twice posted twice barclay credit card duplicate charge immediately called cancel room refunded amount still remaining outstanding due called time informed one purchase cancellation record two purchase shown barclay statement called barclay arrival plus credit least time filed dispute duplicate charge result determination always since merchant refunded purchased amount case considered closed,admin_error,critical
would like file complaint chase cardmember service regarding mishandling valid dispute issue auto repair shop properly repair vehicle caused damage returned vehicle four time course one month time unrepaired finally took another repair shop fixed correctly stated writing prior shop installed part incorrectly causing damage disputed charge made chase card posted amount initiated original dispute chase chase never contacted discus dispute sent letter dated stating considered charge valid sent detailed documentation fax claimed received also contacted phone early got response review requested dispute sent detailed documentation fax chase responded letter dated still considered charge valid billing error never claimed billing claim merchant complete service paid quality workmanship completely unacceptable fact caused damage addition great deal inconvenience extra expense without vehicle month good faith expected chase advocate job,admin_error,high
usaa corrected error statement merchant refunded credit could possibly new purchase see attatched refunded non delivery see attatched new purchase authorize purchase buy back usaa correct billing error,admin_error,medium
submitting complaint extremely affected credit management action completely unfair dont know get ahold portal want express suffered big impact credit score lived one worst period life situation company reporting wrong information account failed mark account disputed also reported multiple billing error charter internet original creditor unfair business practice account information following account name credit management inc account number original creditor opened date high balance demand based many damage violation committed want item removed credit report asap please sed attached documentation company thank,admin_error,medium
chase bank account inquiry ny dear sir madam writing dispute billing error amount account amount inaccurate fraudulent charge returned two fraudulent charge made website contacted credit card company chase bank merchant initially refund issued well chase bank returned one charge credit card forced pay contacted said issued two full refund issue chase bank two refund issued chase bank gave one refund multiple call message sent chase bank resolve issue automated response received attempt ever made chase bank resolve issue chase bank representative said would forward information correct department contact made call message message call message call message message message enclosed two refund credit card statement detail transaction dispute chase bank please investigate matter correct billing error soon possible,admin_error,medium
several invalid erroneous medical bill sent university hospital transworld system inc collection agency account deemed inaccurate due fact hospital inaccurately billed unknown service several request made transworld detailed cost information support various account dispute date received data account subsequently paid full see enclosure matter ongoing since spent enormous amount time trying resolve issue transworld going circle company provide information discus information state record sent collection transworld state additional information must contact obtain copy record issue negatively impacted credit report score received supporting information item listed disputing various collection item previously removed credit report however seem resurfaced considering negative impact item credit score went ahead paid full without ever receiving documentation record question highlighted attached credit report amount supporting data amount duplicate charge amount duplicate charge amount paid amount supporting data paid,admin_error,critical
law law office mitchell bluhm associate reported collection account credit report never made aware debt original creditor collection agency unitl began applying mortgage company made aware negatively impacting credit score mortgage agent causing issue approval immediately contacted insurance company illinois find issue informed paid insurance due billing error betweein hospital medical group insurance company since emergency issue covered insurance policy aware outstanding balance illinois made arrangement send payment pay amount full day said would processed day contacted left message concerning account recieved voice message back confirming billing error contacting mba law remove account collcetions expect letter collection agency confirming account removed waited week contacted mba law find status removal said still owed account asked contacted stated understand thing take time however asked mba law could provide expedite since holding obtaining mortgage said would note account needed show proof paid asked could contact creditor confirm payment placed hold said said would need provide proof said needed removed completely credit report show paid stated would notate account pretty much understand collection agency offer information solution get issue resolved clearly error client part causing hardship refusing take action contact creditor resolve issue provide needed removed credit report,admin_error,critical
letter dated american express stated following reason decision close account score provided recent payment made american express returned unpaid financial institution based credit report past due creditor assessment total revolving balance american express credit card indicated consumer credit report post receipt letter provided american express notified victim identity theft resulted following reported information adversely affected fraudulent incorrect score payment history creditor total revolving balance indicated consumer report regard payment returned payment american express referenced returned due security closure checking saving account done protect adverse consequence fraud experienced federal regulation card member agreement state limit liability fraudulent transaction resulting identity theft american express taking adverse action fully informed victim identity theft fraudulent information reflected credit report result followed provided instruction provided american express submitted countless requested document proving status victim never missed payment american express account correct account listed consumer credit report american express provided following data documented evidence verifying identity theft fraudulent event financial institution document validating identity copy request fraudulent information removed cras copy ftc identity theft affidavit copy fcra copy credit report showing fraudulent information investigated removed successfully last correct account statement received copy official complaint fdic copy initial complaint filed comptroller currency copy ftc complaint bank statement showing income deposited ability pay consumer right prohibit information contained consumer file consumer reporting agency used connection credit insurance transaction initiated consumer e consumer may exercise right referred subparagraph notifying notification system established section e additionally summary applicable standard udaaps unfair act practice act prohibits conduct constitutes unfair act practice act practice unfair cause likely cause substantial injury consumer injury reasonably avoidable consumer injury outweighed countervailing benefit consumer competition substantial injury typically take form monetary harm fee cost paid consumer unfair act practice injury monetary although emotional impact subjective type harm ordinarily amount substantial injury certain circumstance emotional impact may amount contribute substantial injury besides actual injury required significant risk concrete harm sufficient injury reasonably avoidable consumer act practice interferes hinders consumer ability make informed decision take action avoid injury injury caused transaction occur without consumer knowledge consent reasonably avoidable adverse action defined equal credit opportunity act fcra include denial revocation credit refusal grant credit amount term requested regulation b defines refusal grant credit substantially amount substantially term requested application unless creditor make applicant us expressly accepts credit offered fcra contrast defines adverse action broadly include section ecoa denial cancellation increase charge reduction adverse unfavorable change term coverage amount insurance existing applied connection underwriting insurance denial cancellation increase charge adverse unfavorable change term government license benefit connection account review adverse consumer interest dramatically changing term account without required notice removing member reward program confiscating accrued point taking adverse action fraudulent prohibited information failing property investigate billing dispute closing account without notice american express chose act willful noncompliance aforementioned statute regulation action taken american express response identity stolen directly caused massive substantial financial emotional injury concrete harm forfeiting reward point failing fully investigate correct billing error closing account initially caused thousand dollar financial harm negatively impacting credit drastic impact credit score led severe emotional damage massive direct financial loss due inability reasonably avoid adverse action substantial unavoidable damage exacerbated deceptive practice employed american express include furnishing negative information credit reporting agency led drastic drop score preventing recovering theft identity result american express prevented obtaining favorable future credit selling debt resulting identity theft several party debt collector multiple debt collector file lawsuit recover invalid debt informing one debt collector dispute alleged debt informed able validated lawsuit would dropped failing drop multiple suit obtain debt due identity theft indicated illegally obtaining judgment without knowledge admitting failing comply request debt validation refusing remove judgment obtained illegally obtaining receivership without knowledge receivership removed still refusing remove judgment obtained deceptive measure refusing correct many error adverse action taken fraudulently even repeatedly informed concrete severe emotional financial harm caused willful noncompliance evidence willful noncompliance violation fcba dtpa law supported cfpb complaint american express replied stating unable locate certified document submitted referenced correspondence initial letter submitted done certified mail american express document upload site faxed week submission called informed american express received would reviewed yet reply cfpb complaint american express stated receive referenced documentation contrary proof receipt referenced documentation even attached complaint directly demand american express cease willful noncompliance deceptive practice required law reinstate account good standing well remove collection attempt judgment filed unverified fraudulent regard,admin_error,high
dear remain hopeful agency assist rectifying least two billing error battle clear matter including disputing wakefield collection avail matter negatively affecting credit seeking remedy two billing error insurance billed wrong policy also answer initial call opportunity provide coverage per policy please find incident information amp continued effort resolve went emergency room due falling step amp hitting concrete basement floor er staff test amp assessment diagnosis amp quot quot requiring immediately treatment covered insurance er staff called set transfer spoke per gathered ed note treatment covered insurance transported medical decision made incapable making decision transport billed wrong policy hence billed properly amp additional information placed icu treatment followed treatment covered insurance dispute clarification capable making decision amp transported medical decision made incapable making decision ambulance bill paid yet every medical bill incident paid insurance regarding medical treatment billed proper policy learned research billed wrong policy already sent account wakefield collection prior realizing wrong insurance policy per amp filed wakefield dispute online stating successfully submitted processing per conversation wakefield accountant representative original dispute received another dispute online submitted processing shortly filing second dispute denied amp started receive letter collection please assist resolving long enough negative effect moving forward life thank,admin_error,critical
discovered california engaged collection action emergency service rendered proof time question personally copy insurance card ii bic card iii valid state california driver license administrative office located ca spoke admirative assistant informed would contact verify coverage period ii would contacted contacted admirative office telephone informed fact able confirm insurance coverage emergency service rendered billing error would corrected finance department reasonably relied upon representation obtained credit report first time since obtained copy credit report prepare file chapter bankruptcy discovered agency attempting collect invalid debt notified one company debt collection agent office regarding fact informed inaccurate derogatory credit reported credit bureau would corrected attached true correct copy chapter bankruptcy discharge informed trustee testifying fact concerning invalid debt meeting creditor hearing case filed complaint consumer financial protection bureau case company provided photocopy card complaint specifically urged company exercise reasonable due diligence contact client verify state california official fact coverage alleged debt incurred take immediate action remove derogatory credit reported receiving company negligent response called spoke informed card submitted cfpb current id card cover time invalid debt level ignorance contempt material failure exercise reasonable due diligence tortious actionable stated discharged bankruptcy allowed report debt credit bureau respond correctly cfpb complaint fact matter included bankruptcy debt fraudulent invalid must removed entirely incompetent insolent response ground immediate termination contacted fact circumstance requested verification proof coverage period time alleged debt received verification attached hereto true correct confirming fact continuous insurance coverage alleged debt incurred,admin_error,critical
